,Asten Heusden Ommel,Deurne Vlierden,Geldrop,Gemert Handel,Helmond,Helmond Brandevoort,Mierlo,Nuenen Gerwen Nederwetten,Someren
Asten Heusden Ommel,0,3114,17761,26774,12021,13041,11286,22713,6509
Deurne Vlierden,3114,0,21236,20431,10986,14700,14238,22315,9018
Geldrop,17761,21236,0,25944,12383,7545,6023,10403,16157
Gemert Handel,26774,20431,25944,0,16497,23112,26390,20092,28215
Helmond,12021,10986,12383,16497,0,5701,6893,11657,13116
Helmond Brandevoort,13041,14700,7545,23112,5701,0,3783,10056,13091
Mierlo,11286,14238,6023,26390,6893,3783,0,12661,11256
Nuenen Gerwen Nederwetten,22713,22315,10403,20092,11657,10056,12661,0,22217
Someren,6509,9018,16157,28215,13116,13091,11256,22217,0
